X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"18429",2019/02/15 00:00:00,2019/02/15 00:00:00+00,"67",FR,FRA,France,Occitanie,Midi-Pyrénées,Hautes-Pyrénées,Esparros,modis/sentinel,68.5714285713306,0,0,0,17.1428571428326,14.2857142856939,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18434",2019/02/18 00:00:00,2019/02/18 00:00:00+00,"37",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Roquiague,modis/sentinel,46.6666666665111,0,0,0,26.6666666665778,0,26.6666666665778,0,0,1.43225034226421,"0",2022/03/02 11:51:40.501,EU,EU
,,"18445",2019/02/26 00:00:00,2019/02/26 00:00:00+00,"284",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Issor,modis/sentinel,18.2456140350813,0,0,0,81.7543859648836,0,0,0,0,99.9999999999998,"0",2022/03/02 11:51:40.501,EU,EU
,,"18449",2019/01/04 00:00:00,2019/01/08 00:00:00+00,"387",FR,FRA,France,Occitanie,Midi-Pyrénées,Ariège,Gestiès,modis/sentinel,11.6279069767412,0,0.258397932816471,0,88.1136950904165,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18454",2019/02/16 00:00:00,2019/02/18 00:00:00+00,"848",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Ibarrolle,modis/sentinel,36.4497041420075,0,0,0,54.08284023668,4.61538461538407,4.85207100591659,0,0,1.76100363497506,"0",2022/03/02 11:51:40.501,EU,EU
,,"18463",2019/02/23 00:00:00,2019/02/23 00:00:00+00,"231",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Larrau,modis/sentinel,25.9740259740147,0,0,0,74.025974025942,0,0,0,0,5.56350564705849,"0",2022/03/02 11:51:40.501,EU,EU
,,"18482",2019/02/23 00:00:00,2019/02/23 00:00:00+00,"30",FR,FRA,France,Occitanie,Languedoc-Roussillon,Lozère,Pont de Montvert - Sud Mont Lozère,modis/sentinel,0,6.24999999998047,0,0,93.749999999707,0,0,0,0,87.3952533559243,"0",2022/03/02 11:51:40.501,EU,EU
,,"18483",2019/03/22 00:00:00,2019/03/22 00:00:00+00,"76",FR,FRA,France,Occitanie,Languedoc-Roussillon,Lozère,Rousses,modis/sentinel,4.10958904109026,0,1.36986301369675,0,94.520547945076,0,0,0,0,100,"0",2022/03/02 11:51:40.501,EU,EU
,,"18486",2019/02/27 00:00:00,2019/02/27 00:00:00+00,"25",FR,FRA,France,Auvergne-Rhône-Alpes,Rhône-Alpes,Ardèche,Saint-Cierge-la-Serre,modis/sentinel,3.999999999984,0,0,0,95.999999999616,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"18493",2019/02/23 00:00:00,2019/02/23 00:00:00+00,"157",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Licq-Athérey,modis/sentinel,20.5298013244897,0,0,0,79.4701986754441,0,0,0,0,0.410867592954604,"0",2022/03/02 11:51:40.501,EU,EU
,,"18501",2019/02/19 00:00:00,2019/02/19 00:00:00+00,"201",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Lourdios-Ichère,modis/sentinel,1.49253731343209,0,0,0,95.522388059654,0,2.98507462686419,0,0,99.9999999999999,"0",2022/03/02 11:51:40.501,EU,EU
